code,page Url,audio Url
HA,https://macaulaylibrary.org/asset/14171,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/14171/audio
HA,https://macaulaylibrary.org/asset/14169,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/14169/audio
HA,https://macaulaylibrary.org/asset/14165,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/14165/audio
HA,https://macaulaylibrary.org/asset/14164,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/14164/audio
HA,https://macaulaylibrary.org/asset/14163,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/14163/audio
HA,https://macaulaylibrary.org/asset/28857311,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/28857311/audio
CR,https://macaulaylibrary.org/asset/321771151,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/321771151/audio
CR,https://macaulaylibrary.org/asset/320977721,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/320977721/audio
CR,https://macaulaylibrary.org/asset/308351341,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/308351341/audio
CR,https://macaulaylibrary.org/asset/235618071,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/235618071/audio
CR,https://macaulaylibrary.org/asset/203928131,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/203928131/audio
CR,https://macaulaylibrary.org/asset/172404371,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/172404371/audio
CR,https://macaulaylibrary.org/asset/144654991,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/144654991/audio
CR,https://macaulaylibrary.org/asset/138539611,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/138539611/audio
CR,https://macaulaylibrary.org/asset/137920471,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/137920471/audio
CR,https://macaulaylibrary.org/asset/125519291,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125519291/audio
CR,https://macaulaylibrary.org/asset/236450,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/236450/audio
CR,https://macaulaylibrary.org/asset/114313231,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/114313231/audio
CR,https://macaulaylibrary.org/asset/101910251,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/101910251/audio
CR,https://macaulaylibrary.org/asset/92685201,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/92685201/audio
CR,https://macaulaylibrary.org/asset/90682761,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/90682761/audio
CR,https://macaulaylibrary.org/asset/90528041,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/90528041/audio
